"TID","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS","TH","FI","VI"
"TID_CARD_TYPE","TYPE",,,,,,,,,,,,,,,,,,,,
"TID_NPC_TUTORIAL_1","BASIC TRAINING",,,,,,,,,,,,,,,,,,,,
"TID_NPC_TUTORIAL_2","EXPLOSIVES TRAINING",,,,,,,,,,,,,,,,,,,,
"TID_NPC_TUTORIAL_3","AIRDROP TRAINING",,,,,,,,,,,,,,,,,,,,
"TID_NPC_TUTORIAL_4","ADVANCED TRAINING",,,,,,,,,,,,,,,,,,,,
"TID_NPC_1_1","BONUS TRAINING",,,,,,,,,,,,,,,,,,,,
"TID_HELI_POPUP_TITLE","CHOPPER – LEVEL <level>",,,,,,,,,,,,,,,,,,,,
"TID_HELI_POPUP_ATTACK","TROOPS",,,,,,,,,,,,,,,,,,,,
"TID_HELI_POPUP_AIRDROP","AIRDROPS",,,,,,,,,,,,,,,,,,,,
"TID_HELI_POPUP_DEFENSE","DEFENSES",,,,,,,,,,,,,,,,,,,,
"TID_HELI_POPUP_CAPACITY","CAPACITY",,,,,,,,,,,,,,,,,,,,
"TID_HELI_UNLOCK_TO_HQ","UPGRADE YOUR HQ FIRST!",,,,,,,,,,,,,,,,,,,,
"TID_REFILL_KEYS_TEXT","Buy <count> Keys?",,,,,,,,,,,,,,,,,,,,
"TID_REFILL_KEYS_TITLE","Refill Keys",,,,,,,,,,,,,,,,,,,,
"TID_CHEST_TUTORIAL","TRAINING BOX",,,,,,,,,,,,,,,,,,,,
"TID_CHEST_FREE","FREE BOX",,,,,,,,,,,,,,,,,,,,
"TID_CHEST_COMMON","COMMON BOX",,,,,,,,,,,,,,,,,,,,
"TID_CHEST_RARE","RARE BOX",,,,,,,,,,,,,,,,,,,,
"TID_CHEST_EPIC","EPIC BOX",,,,,,,,,,,,,,,,,,,,
"TID_CHEST_MEGA","MEGA BOX",,,,,,,,,,,,,,,,,,,,
"TID_CHEST_DEFENCE","DEFENSE BOX",,,,,,,,,,,,,,,,,,,,
"TID_COLLECT_STARS_TO_UNLOCK","Collect Stars to unlock Leaderboard.",,,,,,,,,,,,,,,,,,,,
"TID_YOU_NEED","YOU NEED",,,,,,,,,,,,,,,,,,,,
"TID_HOW_TO_GAIN_STARS","Gain STARS by ATTACKING or DEFENDING multiplayer battles.",,,,,,,,,,,,,,,,,,,,
"TID_LEADERBOARD","LEADERBOARD",,,,,,,,,,,,,,,,,,,,
"TID_NEXT_BOX","NEXT BOX",,,,,,,,,,,,,,,,,,,,
"TID_CONTAINS","CONTAINS",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_TEXT_INTRO","Ready to kick butt and get mega rich?\nGood – attack this GOLD MINE!",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_TEXT_TARGET","Take down the enemy STAR BUILDING.",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_TEXT_GRENADE","Grenadiers take down Infantry easily!",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_TEXT_SHIELD","Shields can sustain lot of damage but are slow to take down enemies.",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_TEXT_FAIL_CHOICE","Try taking down the 4 shields at the bottom. That is easier route to the STAR BOX.",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_TEXT_AIRDROP","AIRDROPS can be used to take out a group of enemies. Let 'em have it!",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_TEXT_WELCOME","This is your camp! Here, you can chill out and prepare for your next battle.",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_TEXT_WELCOME2","Hit the ATTACK button when you're thirsty for more gold!",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_TEXT_AIRDROP_UNLOCKED","First AIRDROP found. Neat!\nLet's ATTACK again and try it out.",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_TEXT_CAPTURE","This looks like good place for our GOLD MINE. Beat the defenders to CAPTURE it!",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_TEXT_REMOVE_OBSTACLE","Sometimes it helps to remove dangerous barrels or blocking boxes. Tap them to get started.",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_TEXT_UPGRADE_HELI","You've got a CHOPPER! Rad. Upgrade it to carry more TROOPS into battle.",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_TEXT_UPGRADE_HQ","Now you can upgrade your HQ to find new TROOPS, and make it look cooler!",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_TEXT_LAST_TUTORIAL","Last training base, then you're ready.\nWelcome to the RUSH WARS!",,,,,,,,,,,,,,,,,,,,
"TID_CLAIMED","CLAIMED",,,,,,,,,,,,,,,,,,,,
"TID_LEADERBOARD_CATEGORY_1","League",,,,,,,,,,,,,,,,,,,,
"TID_LEADERBOARD_CATEGORY_2","Players",,,,,,,,,,,,,,,,,,,,
"TID_LEADERBOARD_CATEGORY_3","Teams",,,,,,,,,,,,,,,,,,,,
"TID_INFO_ELO","Higher Leagues leads to greater battle rewards. Tap League Badges for more info.",,,,,,,,,,,,,,,,,,,,
"TID_INFO_ELO_STAR_RESET","Your total star count resets at the end of each season",,,,,,,,,,,,,,,,,,,,
"TID_SEASON_ENDS_IN","Season ends in: 24d 20h 35min",,,,,,,,,,,,,,,,,,,,
"TID_YOU","YOU ",,,,,,,,,,,,,,,,,,,,
"TID_LEADERBOARD_TIP","TODO: Implement me",,,,,,,,,,,,,,,,,,,,
"TID_NEW_LEAGUE_REACHED","New League Reached!",,,,,,,,,,,,,,,,,,,,
"TID_NEW_LEAGUE_LEVEL","League: <name>",,,,,,,,,,,,,,,,,,,,
"TID_CHEST_INCREASE_INFO","Chest sizes increase by 50 percent!",,,,,,,,,,,,,,,,,,,,
"TID_LEVEL_UP","LEVEL UP!",,,,,,,,,,,,,,,,,,,,
"TID_UPGRADE_GIVES_EXP","Upgrade Gives",,,,,,,,,,,,,,,,,,,,
"TID_CARD_STATS","STATS",,,,,,,,,,,,,,,,,,,,
"TID_PREVIEW","PREVIEW",,,,,,,,,,,,,,,,,,,,
"TID_BUY_CHEST_TITLE","Buy Chest?",,,,,,,,,,,,,,,,,,,,
"TID_BUY_CHEST_CONTENT","Buy <name>?",,,,,,,,,,,,,,,,,,,,
"TID_MAX_LEVEL_REACHED","MAX LEVEL",,,,,,,,,,,,,,,,,,,,
"TID_CURRENT_PROGRESS","PROGRESS",,,,,,,,,,,,,,,,,,,,
"TID_PRODUCES","PRODUCES:",,,,,,,,,,,,,,,,,,,,
"TID_GOLD_PER_HOUR","<num> Gold/Hr",,,,,,,,,,,,,,,,,,,,
"TID_BUTTON_WATCH_AGAIN","WATCH AGAIN",,,,,,,,,,,,,,,,,,,,
"TID_BOUS_DEFENSE","BONUS!",,,,,,,,,,,,,,,,,,,,
"TID_CLAN_RESEARCH_CLAIMED","You got a BONUS DEFENSE!\nPlace it in your GOLD MINE!",,,,,,,,,,,,,,,,,,,,
"TID_TAP_CARD_TO_RANDOMIZE","Tap a card to change it (<num> tries left)",,,,,,,,,,,,,,,,,,,,
"TID_SCOUT","SCOUT",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_ATTACKS","ATTACKS",,,,,,,,,,,,,,,,,,,,
"TID_LEFT","<num> Left",,,,,,,,,,,,,,,,,,,,
"TID_REDRAFT_DONE","Draft done!",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_DRAFT","DOMINATION DRAFT",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_NO_BOX_UNLOCKED","No Reward Box! Your Team didn't get enough Stars",,,,,,,,,,,,,,,,,,,,
"TID_LEVEL_IS_LOCKED","Complete the previous levels first",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION","DAILY DOMINATION",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_BASES_LEFT_TO_EDIT","<num> bases left to edit",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_ONE_BASE_LEFT_TO_EDIT","One base left to edit",,,,,,,,,,,,,,,,,,,,
"TID_DRAFT","DRAFT",,,,,,,,,,,,,,,,,,,,
"TID_BACK","BACK",,,,,,,,,,,,,,,,,,,,
"TID_YOUR_TROOPS","YOUR TROOPS",,,,,,,,,,,,,,,,,,,,
"TID_NO_RANDOMIZATIONS_LEFT","You can't randomize anymore",,,,,,,,,,,,,,,,,,,,
"TID_CANT_RANDOMIZE_COMMANDER_ONLY_ONE_UNLOCKED","Can't change the COMMANDER - only one COMMANDER found",,,,,,,,,,,,,,,,,,,,
"TID_UNITS_LEFT","Units Left",,,,,,,,,,,,,,,,,,,,
"TID_CARDS","CARDS",,,,,,,,,,,,,,,,,,,,
"TID_CLEAR","CLEAR",,,,,,,,,,,,,,,,,,,,
"TID_RETRAIN_LAST","LAST\nSQUAD",,,,,,,,,,,,,,,,,,,,
"TID_NEXT_IN","NEXT IN: <time>",,,,,,,,,,,,,,,,,,,,
"TID_ATTACKS_AVAILABLE","ATTACKS LEFT: <num>",,,,,,,,,,,,,,,,,,,,
"TID_ENEMY_DEFENSE","ENEMY DEFENSE",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_TRAINING_TITLE","DOMINATION – LEVEL <num>/<total>",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_SELECTED_LEVEL_ENEMIES","LEVEL <num> ENEMIES",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_INGAME","DOMINATION – LEVEL <num>",,,,,,,,,,,,,,,,,,,,
"TID_LEVEL_COMPLETED","LEVEL <num> COMPLETED!",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_BUTTON_LOCKED","UNLOCKS at HQ<num>",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_UNLOCKS_AT_FLOATER","DOMINATION unlocks at HQ<num>",,,,,,,,,,,,,,,,,,,,
"TID_TRAINING_GET_SOME_TROOPS_FIRST","Train your TROOPS first!",,,,,,,,,,,,,,,,,,,,
"TID_YOU_GOT_X_STARS","YOU GOT <num> STARS!",,,,,,,,,,,,,,,,,,,,
"TID_REWARD_DOMINATION","REWARD",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_COMPLETED","DOMINATION COMPLETED!",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_COMPLETED_NEXT_IN","NEXT IN",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_DRAFT_NOT_FINISHED","DRAFT AWAITS",,,,,,,,,,,,,,,,,,,,
"TID_BONUS_DEFENSE","BONUS DEFENSE",,,,,,,,,,,,,,,,,,,,
"TID_BONUS_DEFENSE_LONG","BONUS DEFENSE",,,,,,,,,,,,,,,,,,,,
"TID_CLAN_RESEARCH_WARNING_SELECT_ITEM","Choose defense to build first!",,,,,,,,,,,,,,,,,,,,
"TID_CLAIM","CLAIM",,,,,,,,,,,,,,,,,,,,
"TID_START","START",,,,,,,,,,,,,,,,,,,,
"TID_ATTACK_CARD","ATTACK TROOP",,,,,,,,,,,,,,,,,,,,
"TID_HQ_LEVEL_1","HQ – LEVEL 1",,,,,,,,,,,,,,,,,,,,
"TID_HQ_LEVEL_2","HQ – LEVEL 2",,,,,,,,,,,,,,,,,,,,
"TID_HQ_LEVEL_3","HQ – LEVEL 3",,,,,,,,,,,,,,,,,,,,
"TID_HQ_LEVEL_4","HQ – LEVEL 4",,,,,,,,,,,,,,,,,,,,
"TID_HQ_LEVEL_5","HQ – LEVEL 5",,,,,,,,,,,,,,,,,,,,
"TID_HQ_LEVEL_6","HQ – LEVEL 6",,,,,,,,,,,,,,,,,,,,
"TID_HQ_LEVEL_7","HQ – LEVEL 7",,,,,,,,,,,,,,,,,,,,
"TID_HQ_LEVEL_8","HQ – LEVEL 8",,,,,,,,,,,,,,,,,,,,
"TID_HQ_LEVEL_9","HQ – LEVEL 9",,,,,,,,,,,,,,,,,,,,
"TID_HQ_LEVEL_10","HQ – LEVEL 10",,,,,,,,,,,,,,,,,,,,
"TID_HELICOPTER_LEVEL_1","CHOPPER – LEVEL 1",,,,,,,,,,,,,,,,,,,,
"TID_HELICOPTER_LEVEL_2","CHOPPER – LEVEL 2",,,,,,,,,,,,,,,,,,,,
"TID_HELICOPTER_LEVEL_3","CHOPPER – LEVEL 3",,,,,,,,,,,,,,,,,,,,
"TID_HELICOPTER_LEVEL_4","CHOPPER – LEVEL 4",,,,,,,,,,,,,,,,,,,,
"TID_HELICOPTER_LEVEL_5","CHOPPER – LEVEL 5",,,,,,,,,,,,,,,,,,,,
"TID_HELICOPTER_LEVEL_6","CHOPPER – LEVEL 6",,,,,,,,,,,,,,,,,,,,
"TID_HELICOPTER_LEVEL_7","CHOPPER – LEVEL 7",,,,,,,,,,,,,,,,,,,,
"TID_HELICOPTER_LEVEL_8","CHOPPER – LEVEL 8",,,,,,,,,,,,,,,,,,,,
"TID_KING_OF_DOMINATION","KING OF DOMINATION",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_SEASON","DOMINATION Tournament",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_REWARD","Players tied for first place receive <num> GEMS",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_TIME_LEFT_TIP","You have <time> left to beat this DOMINATION map",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_CARDS_LEFT_TIP","You have <num> troops left to use in this DOMINATION",,,,,,,,,,,,,,,,,,,,
"TID_CONFIRM_SPEED_UP_COMMANDER_REGNERATION_TITLE","COMMANDER Life Regeneration",,,,,,,,,,,,,,,,,,,,
"TID_CONFIRM_SPEED_UP_COMMANDER_REGNERATION_TEXT","Speed up COMMANDER Life Regeneration?",,,,,,,,,,,,,,,,,,,,
"TID_YOU_FOUND_GOLDMINE_1","YOU FOUND A",,,,,,,,,,,,,,,,,,,,
"TID_YOU_FOUND_GOLDMINE_2","GOLD MINE!",,,,,,,,,,,,,,,,,,,,
"TID_SURRENDER","SURRENDER",,,,,,,,,,,,,,,,,,,,
"TID_REMOVE_ITEM","REMOVE\nITEM",,,,,,,,,,,,,,,,,,,,
"TID_REPLAY_ENDS_IN","REPLAY ENDS IN:",,,,,,,,,,,,,,,,,,,,
"TID_SELECT_TEAM_BADGE_TITLE","Select Team Badge",,,,,,,,,,,,,,,,,,,,
"TID_PRODUCTION_COMPLETED","PRODUCTION COMPLETED!",,,,,,,,,,,,,,,,,,,,
"TID_DEFENSE_NEXT_REWARD","NEXT REWARD",,,,,,,,,,,,,,,,,,,,
"TID_OUT_OF_GOLD","OUT OF GOLD",,,,,,,,,,,,,,,,,,,,
"TID_FIND_GOLD_MINE_TITLE","GOLD MINE EXPIRED!",,,,,,,,,,,,,,,,,,,,
"TID_FIND_GOLD_MINE_TEXT","Search for a new GOLD MINE to restart GOLD PRODUCTION",,,,,,,,,,,,,,,,,,,,
"TID_FIND_GOLD_MINE_BUTTON","FIND GOLD MINE",,,,,,,,,,,,,,,,,,,,
"TID_BUTTON_EDIT_DEFENSE","EDIT DEFENSE",,,,,,,,,,,,,,,,,,,,
"TID_CAN_EDIT_ONLY_OWN_BASE","Only your own DEFENSE can be edited!",,,,,,,,,,,,,,,,,,,,
"TID_NO_CLAN","NO TEAM",,,,,,,,,,,,,,,,,,,,
"TID_CHEST_OPEN_LEAGUE","<league> <tier>",,,,,,,,,,,,,,,,,,,,
"TID_DEFENCE_CHEST_TIER","TIER - <num>",,,,,,,,,,,,,,,,,,,,
"TID_BATTLES","BATTLES",,,,,,,,,,,,,,,,,,,,
"TID_STARS_DEFENDED","STARS DEFENDED",,,,,,,,,,,,,,,,,,,,
"TID_3_STAR_DEFENSES","3-STAR DEFENSES",,,,,,,,,,,,,,,,,,,,
"TID_REACHED","REACHED!",,,,,,,,,,,,,,,,,,,,
"TID_SCORE_TOOLTIP","Gain Stars by attacking enemy GOLD MINES and defending your GOLD MINE!",,,,,,,,,,,,,,,,,,,,
"TID_CLANS_UNLOCKED","JOINING TEAMS NOW AVAILABLE!",,,,,,,,,,,,,,,,,,,,
"TID_HQ_LEVEL_UNLOCKED","HQ – LEVEL <num> Unlocked!",,,,,,,,,,,,,,,,,,,,
"TID_HELICOPTER_LEVEL_UNLOCKED","CHOPPER – LEVEL <num> Unlocked!",,,,,,,,,,,,,,,,,,,,
"TID_XP_LEVEL_REACHED","NEW XP LEVEL REACHED!",,,,,,,,,,,,,,,,,,,,
"TID_NO_LEAGUE","NO LEAGUE",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE1_1","ROOKIE",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE1_2","ROOKIE",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE1_3","ROOKIE",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE2_1","BRONZE",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE2_2","BRONZE",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE2_3","BRONZE",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE3_1","SILVER",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE3_2","SILVER",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE3_3","SILVER",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE4_1","GOLD",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE4_2","GOLD",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE4_3","GOLD",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE5_1","SPECIALIST",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE5_2","SPECIALIST",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE5_3","SPECIALIST",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE6_1","NINJA",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE6_2","NINJA",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE6_3","NINJA",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE7_1","CHALLENGER",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE7_2","CHALLENGER",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE7_3","CHALLENGER",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE8_1","CHAMPION",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE8_2","CHAMPION",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE8_3","CHAMPION",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE9_1","HERO",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE9_2","HERO",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE9_3","HERO",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE10_1","LEGEND",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE10_2","LEGEND",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE10_3","LEGEND",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE11_1","SUPERSTAR",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE11_2","SUPERSTAR",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE11_3","SUPERSTAR",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE12","ELITE",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE_PROGRESS","LEAGUE PROGRESS",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE_REWARD_NOT_REACHED","Get more Stars to collect this reward!",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE_REWARD_ALREADY_COLLECTED","Reward is already collected",,,,,,,,,,,,,,,,,,,,
"TID_EXP_LEVEL","XP LEVEL",,,,,,,,,,,,,,,,,,,,
"TID_UPGRADE_REQUIRES","UPGRADE\nREQUIRES",,,,,,,,,,,,,,,,,,,,
"TID_LEAGUE_REWARD","ALL BATTLE BOXES",,,,,,,,,,,,,,,,,,,,
"TID_BATTLE_BOX_INCREASE","+<num>% CARDS AND GOLD",,,,,,,,,,,,,,,,,,,,
"TID_XP","XP",,,,,,,,,,,,,,,,,,,,
"TID_TAP_TO_CLOSE","TAP TO CLOSE",,,,,,,,,,,,,,,,,,,,
"TID_CARD_LEVEL_X","LEVEL <num>",,,,,,,,,,,,,,,,,,,,
"TID_UPGRADE_READY","UPGRADE READY",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_SELECTED","Participants selected: <num>",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_SIZE","DOMINATION size: <num>x<num2>",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_SELECT_PLAYERS_HELP","Use the IN/OUT button to add or remove participants",,,,,,,,,,,,,,,,,,,,
"TID_IN","IN",,,,,,,,,,,,,,,,,,,,
"TID_OUT","OUT",,,,,,,,,,,,,,,,,,,,
"TID_START_DOMINATION_TITLE","SELECT DOMINATION PARTICIPANTS",,,,,,,,,,,,,,,,,,,,
"TID_START_SELECT_X_MORE","Select <num> more participants first!",,,,,,,,,,,,,,,,,,,,
"TID_START_SELECT_X_LESS","Select <num> less participants first!",,,,,,,,,,,,,,,,,,,,
"TID_START_DOMINATION","START DOMINATION",,,,,,,,,,,,,,,,,,,,
"TID_START_NEW_DOMINATION","START NEW DOMINATION",,,,,,,,,,,,,,,,,,,,
"TID_ALLIANCE_DOMINATION_COOLDOWN","Please wait <time> before starting a new DOMINATION",,,,,,,,,,,,,,,,,,,,
"TID_CLAN_DOMINATION_WELCOME_TITLE","TEAM DOMINATION",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_WELCOME_TEXT","Battle against other TEAMS!\nDOMINATE their map to win rewards!",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_ASK_CLAN_LEADER","Ask your Team Leader to start a DOMINATION!",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_CANT_START_DOMINATION","Only the Team Leader can start a DOMINATION!",,,,,,,,,,,,,,,,,,,,
"TID_HQ_POPUP_TITLE","HQ – LEVEL <level>",,,,,,,,,,,,,,,,,,,,
"TID_HQ_POPUP_SUPPLY_BOX_LEVEL","LEVEL <num1>",,,,,,,,,,,,,,,,,,,,
"TID_HQ_POPUP_SUPPLY_BOX_LEVEL_INCREASE","LEVEL <num1> <c10f010>→ <num2></c>",,,,,,,,,,,,,,,,,,,,
"TID_HQ_POPUP_INFO","HQ is the heart of your camp. Upgrade to find new CARDS, level up your FREE BOX, and improve your GOLD PRODUCTION!",,,,,,,,,,,,,,,,,,,,
"TID_HQ_POPUP_PRODUCTION","GOLD PRODUCTION",,,,,,,,,,,,,,,,,,,,
"TID_HQ_POPUP_SUPPLY_BOX","FREE BOX",,,,,,,,,,,,,,,,,,,,
"TID_HQ_POPUP_CARD_UNLOCKS","CARDS TO FIND",,,,,,,,,,,,,,,,,,,,
"TID_HQ_POPUP_GOLD_STORAGE","GOLD STORAGE",,,,,,,,,,,,,,,,,,,,
"TID_LAST_ACTIVE","Last active <num> ago",,,,,,,,,,,,,,,,,,,,
"TID_LAST_ACTIVE_WEEK_AGO","Last active over 1 w ago",,,,,,,,,,,,,,,,,,,,
"TID_LAST_ACTIVE_TODAY","Last active today",,,,,,,,,,,,,,,,,,,,
"TID_ACTIVE_NOW","Online",,,,,,,,,,,,,,,,,,,,
"TID_DONATED","RESEARCH INPUT",,,,,,,,,,,,,,,,,,,,
"TID_HELI_UPGRADE_POPUP_INFO","Carries your TROOPS, AIRDROPS and COMMANDER into battle. Upgrading increases capacity.",,,,,,,,,,,,,,,,,,,,
"TID_HOME_GOLDMINE","GOLD MINE",,,,,,,,,,,,,,,,,,,,
"TID_RESEARCH","Research",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_NOT_HEALED","COMMANDER NOT HEALED!",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_NOT_HEALED_HINT","COMMANDER can only be used in battle when at full health.",,,,,,,,,,,,,,,,,,,,
"TID_HEAL_NOW","FILL LIVES",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_VISIT_FAILED_NOT_PART_OF_CLAN","Player is not part of your Team",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_VISIT_FAILED_INTERNAL_ERROR","Viewing base failed. Internal error.",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_VISIT_FAILED","Viewing base failed",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_VISIT_FAILED_TARGET_NOT_AVAILABLE","Target not available",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_VISIT_FAILED_INCORRECT_STATE","Viewing base failed. Incorrect state",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_VISIT_FAILED_NOT_IN_DOMINATION","Viewing failed. You are not in a DOMINATION.",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_ATTACK_FAIL_FAILURE_DATA_NOT_FOUND","Attack failed – data not found",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_ATTACK_FAIL_FAILURE_DATA_NOT_AVAILABLE","Attack failed – data no available",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_ATTACK_FAIL_FAILURE_MEMBER_NOT_PART_OF_THE_WAR","Attack failed – member not part of the DOMINATION",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_ATTACK_FAIL_FAILURE_INVALID_TARGET","Attack failed – invalid target",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_ATTACK_FAIL_FAILURE_TARGET_UNDER_ATTACK","Cannot attack – someone else is attacking this base!",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_ATTACK_FAIL_FAILURE_INTERVAL_ERROR","Attack failed – internal error",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_ATTACK_FAIL_FAILURE_SERVER_BUSY","Attack failed – server busy",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_ATTACK_FAIL_FAILURE_DEFENDER_LEFT_THE_CLAN","Defender has left the team",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_ATTACK_FAIL_FAILURE_ATTACKER_LEFT_THE_CLAN","Attacker has left the team",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_ATTACK_FAIL_FAILURE_ATTACKING_SAME_TARGET","Attack failed. Multiple players are attacking same target",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_ATTACK_FAIL_FAILURE_WAR_IS_ENDING","DOMINATION is about to end – you can't attack anymore",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_ATTACK_FAIL_FAILURE_SERVER_MAINTENANCE","Server is going down for maintenance – you can't attack anymore",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_ATTACK_FAILURE","Attack failed",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_EDIT_BASE_FAILED_INTERNAL_ERROR","Editing defense failed – internal error",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_EDIT_BASE_FAILED_INVALID_ID","Editing defense failed – invalid id",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_EDIT_BASE_FAILED","Editing defense failed",,,,,,,,,,,,,,,,,,,,
"TID_WAR_DETAILS","OVERVIEW",,,,,,,,,,,,,,,,,,,,
"TID_WAR_EVENTS","BATTLES",,,,,,,,,,,,,,,,,,,,
"TID_WAR_MY_TEAM","MY TEAM",,,,,,,,,,,,,,,,,,,,
"TID_WAR_ENEMY_TEAM","ENEMY TEAM",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_DETAILS_TITLE","DOMINATION DETAILS",,,,,,,,,,,,,,,,,,,,
"TID_DOMINATION_EVENTS_APPEAR_DURING_BATTLE_DAY","Battle replays will appear here!",,,,,,,,,,,,,,,,,,,,
"TID_OPPONENT_IS_PREPARING_DEFENCES","Opponent is preparing defenses",,,,,,,,,,,,,,,,,,,,
"TID_INVALID_WAR_MEMBERS_INFO_LOW","Select at least <value> participants",,,,,,,,,,,,,,,,,,,,
